asset,model,target,MAE,RMSE,QLIKE
sunpharma,EWMA,realized_var_proxy,0.0001673012119368,0.0003000961033543,912.7530872738404
sunpharma,GARCH,realized_var_proxy,0.000276298678675,0.0003469607575391,2015.1355656859944
sunpharma,GJR-GARCH,realized_var_proxy,0.0002760562236755,0.0003466975823022,2092.954893037118
sunpharma,STATIC_INVERSE_RMSE,realized_var_proxy,0.00023471383408702634,0.00032133218847568365,1690.3923499605996
tatasteel,EGARCH,parkinson_var_proxy,0.0002753423312194,0.0004533951667533,1.3569010046125003
tatasteel,EWMA,parkinson_var_proxy,0.0002542054395069,0.0004693967336423,1.015578902360863
tatasteel,GARCH,parkinson_var_proxy,0.0002975057810941,0.0004676419664353,1.541884884026354
tatasteel,GJR-GARCH,parkinson_var_proxy,0.0003059592083723,0.0004798206132316,1.6061413381403706
tatasteel,STATIC_INVERSE_RMSE,parkinson_var_proxy,0.0002793092542021274,0.0004629206875279246,1.3504574652455734
tatasteel,EGARCH,realized_var_proxy,0.000464697029151,0.0009646033814119,320.63928875357533
tatasteel,EWMA,realized_var_proxy,0.0004467966992908,0.0009724718806648,308.22371642533477
tatasteel,GARCH,realized_var_proxy,0.0004865413755949,0.0009699736771651,360.7781883011827
tatasteel,GJR-GARCH,realized_var_proxy,0.0004920950123204,0.0009713882365351,352.3357211878591
tatasteel,STATIC_INVERSE_RMSE,realized_var_proxy,0.00046958094061266245,0.0009674130045426133,334.67311835832436
