date,close,log_return,realized_var_proxy,asset,category,sector
2022-06-13,795.7594604492188,-0.01934160662438573,0.000374097746812482,sunpharma,defensive,Pharma
2022-06-13,85.54163360595703,-0.03150604623302411,0.0009926309492374527,tatasteel,high_beta,Metals
2022-06-14,2191.557373046875,0.05459455704644547,0.0029805656590975883,adanient,high_beta,Conglomerate / Infra
2022-06-14,33310.96484375,-0.0028328873005188013,8.025250457440701e-06,banknifty,index,Banking
2022-06-14,301.1933288574219,0.01979005328715569,0.0003916462091084617,dlf,high_beta,Realty
2022-06-14,2002.894287109375,-0.011859339470513803,0.00014064393267688662,hindunilvr,defensive,FMCG
2022-06-14,806.7532958984375,0.0010081608588378506,1.0163883172926725e-06,nestleind,defensive,FMCG
2022-06-14,15732.099609375,-0.0026852114114221596,7.210360324031787e-06,nifty50,index,Broad Market
2022-06-14,791.4905395507812,-0.0053790281196940725,2.893394351245955e-05,sunpharma,defensive,Pharma
2022-06-14,85.90380859375,0.004224965352140958,1.7850332226791566e-05,tatasteel,high_beta,Metals
2022-06-15,2179.734130859375,-0.0054095092988769395,2.9262790854636077e-05,adanient,high_beta,Conglomerate / Infra
2022-06-15,33338.61328125,0.000829665839268037,6.883454048483361e-07,banknifty,index,Banking
2022-06-15,304.3602294921875,0.010459618190916347,0.00010940361269974816,dlf,high_beta,Realty
2022-06-15,1997.822021484375,-0.0025356800890156514,6.429673513830422e-06,hindunilvr,defensive,FMCG
2022-06-15,803.44677734375,-0.00410697186924832,1.686721793479704e-05,nestleind,defensive,FMCG
2022-06-15,15692.150390625,-0.0025425739848417965,6.464682468394292e-06,nifty50,index,Broad Market
2022-06-15,788.852294921875,-0.003338828793647805,1.1147777713291656e-05,sunpharma,defensive,Pharma
2022-06-15,87.2126235961914,0.015120920912281318,0.00022864224923546648,tatasteel,high_beta,Metals
2022-06-16,2078.3603515625,-0.04762362071281808,0.0022680092497983553,adanient,high_beta,Conglomerate / Infra
2022-06-16,32616.720703125,-0.021891221328089332,0.00047922557123539325,banknifty,index,Banking
2022-06-16,291.78851318359375,-0.04218269538472319,0.0017793797899203472,dlf,high_beta,Realty
2022-06-16,1997.961669921875,6.989789655396434e-05,4.8857159426687e-09,hindunilvr,defensive,FMCG
2022-06-16,806.8751831054688,0.004258044075582152,1.813093934960027e-05,nestleind,defensive,FMCG
